welcomeKey_resp.keys,welcomeKey_resp.rt,X Scale,Y Scale,rt_resp_4.keys,rt_resp_4.corr,rt_resp_4.rt,speedtest_2.thisRepN,speedtest_2.thisTrialN,speedtest_2.thisN,speedtest_2.thisIndex,speedtest_2.ran,numberSc,posX,positionLayout,participant,date,expName,psychopyVersion,OS,frameRate,ct_instrresp.keys,ct_instrresp.rt,key_resp_2.keys,key_resp_2.rt,ct_keyResp.keys,ct_keyResp.corr,ct_keyResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftNo,rightNo,displayProblem,numDistance,leftNo_size,rightNo_size,Dims,keyAnswer,TS_Loop.thisRepN,TS_Loop.thisTrialN,TS_Loop.thisN,TS_Loop.thisIndex,TS_Loop.ran,Condition,ActionInst,instrImage,mltptaskInst_resp.keys,mltptaskInst_resp.rt,continue_resp_2.keys,continue_resp_2.rt,multp_Answer,multi_RT,multiplyCorr,LoopingMultiply.thisRepN,LoopingMultiply.thisTrialN,LoopingMultiply.thisN,LoopingMultiply.thisIndex,LoopingMultiply.ran,factor1,multiplySign,factor2,multliplyProblem,physicalSize,orderOperand,sizeF1,sizeF2,mult_answer,trials_stroop.thisRepN,trials_stroop.thisTrialN,trials_stroop.thisN,trials_stroop.thisIndex,trials_stroop.ran,multiplicationFile,esckey_resp_2.keys,esckey_resp_2.rt
y,13.4875,45,44.9,right,1,0.5312,0,0,0,12,1,6,200,right,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.4412,0,1,1,1,1,2,-200,left,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3685,0,2,2,7,1,9,-200,left,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3489,0,3,3,10,1,3,200,right,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3839,0,4,4,15,1,9,200,right,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.386,0,5,5,2,1,3,-200,left,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3514,0,6,6,14,1,8,200,right,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3442,0,7,7,4,1,6,-200,left,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.3868,0,8,8,3,1,4,-200,left,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,right,1,0.3518,0,9,9,9,1,2,200,right,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,0,0.8754,0,10,10,8,1,1,200,right,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,left,1,0.6055,0,11,11,6,1,8,-200,left,8158,2022-02-23_21h59.07.478,multiplicationStroop,2021.2.3,Win32,59.38947618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
